Sequence ID,Predicted label,Actual_Code,Actual_Label
Copia-35_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36-I_ZM|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_ATr-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_BG-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_CQ-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_ECa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA-1_SBi-LTR|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-36_Mad-LTR|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-36_Pru-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-36_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_BD-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_DPu-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_GM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_Mad-LTR__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Academ-2_CGi|ClassII|?|Acade,SubclassI,1.4.5,I
ATHILA-4_SBi-I|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-37_Pru-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-37_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-38_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-38_BD-LTR|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-38_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-38_DPu-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-38_GM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-38_Mad-LTR__2|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-38_Pru-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA-6_SBi-LTR|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-38_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-38_TC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39-LTR_ZM|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_ATr-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_BRa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_DPu-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_GM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_Mad-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_Pru-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-39_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA2_LTR|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-39_TC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_AA-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-3_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_AT-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_BRa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_Cfl-I|ClassI|LTR|Copia,RTE,1.1.1,Copia
Copia-3_CP-I__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_CQ-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_DAn-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA4B_LTR|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-3_DGri-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-3_DWil-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_EPa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_FV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_HAE-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_LBS-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_LU-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_PD-I|ClassI|LTR|Copia,LINE,1.1.1,Copia
Copia-3_PPa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA4_LTR|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-3_PR-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_PSo-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_PTc-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-3_RC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_SI-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_SMo-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-3_TMe-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4-LTR_NV|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-40_ATr-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA6B_I|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-40_BRa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-40_ECa-LTR|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-40_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-40_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-40_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-40_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-40_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_BD-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA7_I|ClassI|LTR|Gypsy,Copia,1.1.2,gypsy
Copia-41_FV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_PIT-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_RC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-41_ZM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-42_ATr-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-42_BG-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-42_ECa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-42_GM-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHILA_I|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-42_MLP-I|ClassI|LTR|Copia,DIRS,1.1.1,Copia
Copia-42_Pru-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-42_SB-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-42_VV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-43_ALY-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-43_BRa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-43_ECa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-43_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-43_MLP-LTR|ClassI|LTR|Copia,tRNA,1.1.1,Copia
Copia-43_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATHPOGON1|ClassII|TIR|Tc1-Mariner,Tc1-Mariner,,
Copia-43_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-43_ZM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_ALY-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_BRa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_ECa-LTR|ClassI|LTR|Copia,DIRS,1.1.1,Copia
Copia-44_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-44_ZM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATLANTYS-LTR_OS|ClassI|LTR|Gypsy,gypsy,1.1.2,gypsy
Copia-45_ATr-I|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-45_CCri-I|ClassI|LTR|Copia,DIRS,1.1.1,Copia
Copia-45_FV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-45_Mad-I__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-45_Pru-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-45_SB-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-45_VV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-46_ALY-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-46_BRa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-46_ECa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Academ-2_PM|ClassII|?|Acade,SubclassI,1.4.5,I
ATLANTYS3I|ClassI|LTR|Gypsy,gypsy,,
Copia-46_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-46_PIT-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-46_RC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-46_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-47_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-47_BG-LTR|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-47_ECa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-47_JC-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-47_PIT-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-47_RC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATLINE1_1|ClassI|LINE|L1,L1,1.4.4,L1
Copia-47_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-48B_ATr-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-48_ATr-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-48_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-48_JC-LTR|ClassI|LTR|Copia,LINE,1.1.1,Copia
Copia-48_PIT-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-48_RC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-48_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-49_AA-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-49_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATLINE1_2|ClassI|LINE|L1,L1,1.4.4,L1
Copia-49_CCri-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-49_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-49_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-49_PX-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-49_ST-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-49_ZM-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_AT-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_CCO-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATLINE1_7|ClassI|LINE|L1,L1,1.4.4,L1
Copia-4_CP-I__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_CQ-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-4_DMoj-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_DWil-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_EPa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_FV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_LH-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_MVPL-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATMU1|ClassII|TIR|Mu,Mutator,,
Copia-4_PGr-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_PPa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_PSH-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_PSt-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_SCH-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-4_SMo-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_TMe-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-4_XT-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
ATMU2|ClassII|TIR|Mu,Mutator,,
Copia-50_ATr-LTR|ClassI|LTR|Copia,L1,1.1.1,Copia
Copia-50_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-50_GM-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-50_MLP-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-50_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-50_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-50_ZM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-51_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-51_CCri-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-51_Mad-I__2|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATMU6|ClassII|TIR|Mu,Mutator,,
Copia-51_PIT-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-51_SB-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-51_ZM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-52_BG-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-52_CCri-LTR|ClassI|LTR|Copia,Bel-Pao,1.1.1,Copia
Copia-52_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-52_PIT-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-52_SB-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-52_VV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-53_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATMUN1|ClassII|TIR|Mu,Mutator,,
Copia-53_BRa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-53_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-53_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-53_PX-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-53_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_BRa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_JC-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_MLP-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_PPe-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATRE1_I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-54_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-55_AA-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-55_BRa-I|ClassI|LTR|Copia,DIRS,1.1.1,Copia
Copia-55_GM-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-55_PIT-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-55_PR-LTR|ClassI|LTR|Copia,tRNA,1.1.1,Copia
Copia-55_SB-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-55_VV-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-56_ALY-LTR|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
ATREP10B|ClassII|Helitron|Helitro,SubclassI,,
Copia-56_CCri-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-56_Mad-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-56_PPe-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-56_PX-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-56_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-57_ALY-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-57_BRa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-57_Mad-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-57_PIT-LTR|ClassI|LTR|Copia,SubclassI,1.1.1,Copia
Copia-57_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Academ-3_BF|ClassII|?|Acade,SubclassI,1.4.5,I
ATREP12|ClassII|Helitron|Helitro,SubclassI,,
Copia-57_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-58_AA-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-58_BG-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-58_GM-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-58_MLP-LTR|ClassI|LTR|Copia,gypsy,1.1.1,Copia
Copia-58_PPe-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-58_PX-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-58_VV-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-59_AA-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-59_BRa-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
ATREP17|ClassII|?|?,SubclassI,,
Copia-59_GM-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-59_PI-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-59_PX-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-59_ST-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-5_AA-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-5_ALY-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-5_BD-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-5_BRa-LTR|ClassI|LTR|Copia,Copia,1.1.1,Copia
Copia-5_CP-I|ClassI|LTR|Copia,Copia,1.1.1,Copia
